Depth,Delta-T,Resist.,SP,GR
10180,59.9,22,45.6,116
10181,59.9,21,49,114
10182,60.5,19.7,53,127
10183,63.5,18.9,55.6,150
10184,64.5,18.2,58.4,155
10185,64.6,18,62.5,140
10186,61.5,18,64.7,121
10187,59.2,21,66.9,106
10188,55.9,29,69.3,62
10189,52.1,53,71.3,25
10190,49.1,390,73.7,9
10191,47.8,1501,75.7,11
10192,47.2,2093,76.7,11
10193,47.2,1677,77.1,10
10194,48.5,1077,77.5,9
10195,49.6,765,77.5,8
10196,48.3,564,77.5,8
10197,46.9,554,77.5,8
10198,46.6,487,77.1,10
10199,46.8,159,76.5,15
10200,46.7,74,75.9,16
10201,47.8,57,74.7,14
10202,51.2,50,73.7,14
10203,51.6,48,71.1,18
10204,51.1,48,67.3,23
10205,51.4,49,63.7,27
10206,52.3,56,60.6,28
10207,52.3,59,57.8,20
10208,51.5,61,53.2,17
10209,51.2,52,48.2,72
10210,53.3,24,42.9,109
10211,57.6,17.5,37.9,131
10212,60.6,15.4,34.5,135
10213,60.8,15.2,31.7,122
10214,59.5,15.2,30.1,119
10215,59.7,15.2,28.5,128
10216,61.1,14.7,27.2,135
10217,61.6,12.9,26,138
10218,61.8,12,24.4,139
10219,62,11,23.4,139
10220,62.2,10.6,22.2,135
10221,62.2,10.5,21.2,135
10222,62.2,10.5,20.8,129
10223,60.9,10.8,20.2,119
10224,60.8,11.1,19.8,123
10225,61.5,11.2,19.2,116
10226,61.4,10.7,19,118
10227,61.9,9.9,19,135
10228,63.2,9.3,18.8,149
10229,64.4,9,18.6,153
10230,62.6,9.4,18.4,120
10231,61.4,10.1,18.2,108
10232,61,10.2,18.2,105
10233,61.1,10,18.2,116
10234,62.8,8,18.2,134
10235,65.4,7.1,18.2,138
10236,66.3,6.5,18.8,132
10237,66.2,5.8,19.4,131
10238,68.3,5,20.4,135
10239,69.8,4.2,21.6,140
10240,70.6,3.6,22.4,144
10241,72.4,3.3,23.8,129
10242,74.2,3.2,25,118
10243,74.3,3.3,26.4,119
10244,71.5,4,28,114
10245,63.5,4.9,29.3,87
10246,60.1,5.4,30.5,80
10247,65.2,5.8,31.3,99
10248,68.2,6.2,32.7,99
10249,66.4,6.6,33.5,89
10250,63.2,7.6,34.3,100
10251,63.4,8.9,34.9,118
10252,65.3,10.1,35.7,124
10253,65.1,11.2,36.1,117
10254,64.1,12.4,36.1,120
10255,63.9,15.1,36.3,123
10256,63.9,16.6,36.3,124
10257,63.9,17.5,36.3,123
10258,63.9,18,36.3,120
10259,63.5,18,36.3,120
10260,62.7,18,36.3,125
10261,63.1,18,36.3,130
10262,63.6,19,36.3,126
10263,61.1,21,36.3,113
10264,58.4,23,36.9,100
10265,58.1,27,37.9,90
10266,58.1,30,38.5,78
10267,57.7,33,39.7,66
10268,57.1,35,40.1,69
10269,56.6,35,40.5,96
10270,56.8,30,40.5,103
10271,59.5,27,40.7,113
10272,61.3,23,40.9,122
10273,61.9,19.9,40.9,122
10274,61.9,18.9,41.1,117
10275,62.1,18.5,41.1,118
10276,62.5,19.4,41.1,120
10277,62.5,20,41.3,119
10278,62.5,20,41.7,122
10279,62.4,22,42.1,130
10280,62,24,42.9,124
10281,60.7,26,43.9,87
10282,57.5,30,44.7,53
10283,56,33,45.6,46
10284,56,34,46.6,58
10285,57.8,30,47.2,83
10286,60,28,48,100
10287,60.3,26,48.6,101
10288,60.2,26,50.2,92
10289,59.9,29,51.2,85
10290,60.4,34,52.8,99
10291,60.9,35,54.2,105
10292,61.4,39,55.2,107
10293,61.4,44,56,97
10294,56.1,66,57.2,62
10295,51.2,122,58,46
10296,48.4,248,59,45
10297,48.5,1724,59.6,33
10298,49.8,2036,60.8,23
10299,49.8,2036,62.3,20
10300,50,2055,63.5,15
10301,50.9,2093,64.7,11
10302,50.5,2113,66.3,13
10303,47.9,2113,67.7,16
10304,46.3,2113,68.9,21
10305,46.1,2093,70.7,30
10306,46.4,1631,72.1,38
10307,46.4,751,73.1,39
10308,45.8,250,74.5,35
10309,45.9,216,75.9,30
10310,46.5,199,77.3,25
10311,46.7,176,78.8,24
10312,47.3,130,80.8,27
10313,51.9,95,83.4,21
10314,55.7,69,85.4,17
10315,61.2,47,87.6,16
10316,66.5,31,89.8,16
10317,68.9,21,91.4,18
10318,69.6,17.5,93.4,19
10319,69.6,16.1,94.2,19
10320,69.1,16.1,95.1,16
10321,68,16.1,95.5,18
10322,66.9,17.5,95.5,19
10323,66.7,18,95.5,17
10324,66.6,18.3,95.5,17
10325,66,18.3,95.7,17
10326,65,18.3,96.5,17
10327,64.4,18.3,96.7,17
10328,64,18.2,96.9,18
10329,64.6,17.4,97.1,22
10330,64.7,16.3,97.1,22
10331,64.4,15.4,96.7,21
10332,64.4,14,95.9,17
10333,65.5,12.7,95.1,14
10334,67.4,11,94.8,13
10335,69.3,9,94.8,18
10336,70.9,7.5,94.8,19
10337,72.4,6.7,94.8,20
10338,73.3,6.1,95.5,20
10339,73.7,5.7,96.3,18
10340,73.8,5.6,97.1,17
